pathway,pH,temp,O2,redox
"map05213,Endometrial cancer",7.0,298,0.21,0.0
"map05224,Breast cancer",7.0,298,0.21,0.0
"map05222,Small cell lung cancer",7.0,298,0.21,0.0
"map05223,Non-small cell lung cancer",7.0,298,0.21,0.0
"map05166,Human T-cell leukemia virus 1 infection",7.0,298,0.21,0.0
"map05170,Human immunodeficiency virus 1 infection",7.0,298,0.21,0.0
"map05161,Hepatitis B",7.0,298,0.21,0.0
"map05160,Hepatitis C",7.0,298,0.21,0.0
"map05171,Coronavirus disease - COVID-19",7.0,298,0.21,0.0
"map05164,Influenza A",7.0,298,0.21,0.0
"map05162,Measles",7.0,298,0.21,0.0
"map05168,Herpes simplex virus 1 infection",7.0,298,0.21,0.0
"map05163,Human cytomegalovirus infection",7.0,298,0.21,0.0
"map05167,Kaposi sarcoma-associated herpesvirus infection",7.0,298,0.21,0.0
"map05169,Epstein-Barr virus infection",7.0,298,0.21,0.0
"map05165,Human papillomavirus infection",7.0,298,0.21,0.0
"map05110,Vibrio cholerae infection",7.0,298,0.21,0.0
"map05120,Epithelial cell signaling in Helicobacter pylori infection",7.0,298,0.21,0.0
"map05130,Pathogenic Escherichia coli infection",7.0,298,0.21,0.0
"map05132,Salmonella infection",7.0,298,0.21,0.0
"map05131,Shigellosis",7.0,298,0.21,0.0
"map05135,Yersinia infection",7.0,298,0.21,0.0
"map05133,Pertussis",7.0,298,0.21,0.0
"map05134,Legionellosis",7.0,298,0.21,0.0
"map05150,Staphylococcus aureus infection",7.0,298,0.21,0.0
"map05152,Tuberculosis",7.0,298,0.21,0.0
"map05100,Bacterial invasion of epithelial cells",7.0,298,0.21,0.0
"map05146,Amoebiasis",7.0,298,0.21,0.0
"map05144,Malaria",7.0,298,0.21,0.0
"map05145,Toxoplasmosis",7.0,298,0.21,0.0
"map05140,Leishmaniasis",7.0,298,0.21,0.0
"map05142,Chagas disease",7.0,298,0.21,0.0
"map05143,African trypanosomiasis",7.0,298,0.21,0.0
"map05310,Asthma",7.0,298,0.21,0.0
"map05322,Systemic lupus erythematosus",7.0,298,0.21,0.0
"map05323,Rheumatoid arthritis",7.0,298,0.21,0.0
"map05320,Autoimmune thyroid disease",7.0,298,0.21,0.0
"map05321,Inflammatory bowel disease",7.0,298,0.21,0.0
"map05330,Allograft rejection",7.0,298,0.21,0.0
"map05332,Graft-versus-host disease",7.0,298,0.21,0.0
"map05340,Primary immunodeficiency",7.0,298,0.21,0.0
"map05010,Alzheimer disease",7.0,298,0.21,0.0
"map05012,Parkinson disease",7.0,298,0.21,0.0
"map05014,Amyotrophic lateral sclerosis",7.0,298,0.21,0.0
"map05016,Huntington disease",7.0,298,0.21,0.0
"map05017,Spinocerebellar ataxia",7.0,298,0.21,0.0
"map05020,Prion disease",7.0,298,0.21,0.0
"map05022,Pathways of neurodegeneration - multiple diseases",7.0,298,0.21,0.0
"map05030,Cocaine addiction",7.0,298,0.21,0.0
"map05031,Amphetamine addiction",7.0,298,0.21,0.0
"map05032,Morphine addiction",7.0,298,0.21,0.0
"map05033,Nicotine addiction",7.0,298,0.21,0.0
"map05034,Alcoholism",7.0,298,0.21,0.0
"map05417,Lipid and atherosclerosis",7.0,298,0.21,0.0
"map05418,Fluid shear stress and atherosclerosis",7.0,298,0.21,0.0
"map05410,Hypertrophic cardiomyopathy",7.0,298,0.21,0.0
"map05412,Arrhythmogenic right ventricular cardiomyopathy",7.0,298,0.21,0.0
"map05414,Dilated cardiomyopathy",7.0,298,0.21,0.0
"map05415,Diabetic cardiomyopathy",7.0,298,0.21,0.0
"map05416,Viral myocarditis",7.0,298,0.21,0.0
"map04930,Type II diabetes mellitus",7.0,298,0.21,0.0
"map04940,Type I diabetes mellitus",7.0,298,0.21,0.0
"map04950,Maturity onset diabetes of the young",7.0,298,0.21,0.0
"map04936,Alcoholic liver disease",7.0,298,0.21,0.0
"map04932,Non-alcoholic fatty liver disease",7.0,298,0.21,0.0
"map04931,Insulin resistance",7.0,298,0.21,0.0
"map04933,AGE-RAGE signaling pathway in diabetic complications",7.0,298,0.21,0.0
"map04934,Cushing syndrome",7.0,298,0.21,0.0
"map01501,beta-Lactam resistance",7.0,298,0.21,0.0
"map01502,Vancomycin resistance",7.0,298,0.21,0.0
"map01503,Cationic antimicrobial peptide (CAMP) resistance",7.0,298,0.21,0.0
"map01521,EGFR tyrosine kinase inhibitor resistance",7.0,298,0.21,0.0
"map01524,Platinum drug resistance",7.0,298,0.21,0.0
"map01523,Antifolate resistance",7.0,298,0.21,0.0
"map01522,Endocrine resistance",7.0,298,0.21,0.0
"map07011,Penicillins",7.0,298,0.21,0.0
"map07012,Cephalosporins - parenteral agents",7.0,298,0.21,0.0
"map07013,Cephalosporins - oral agents",7.0,298,0.21,0.0
"map07021,Aminoglycosides",7.0,298,0.21,0.0
"map07019,Tetracyclines",7.0,298,0.21,0.0
"map07020,Macrolides and ketolides",7.0,298,0.21,0.0
"map07014,Quinolones",7.0,298,0.21,0.0
"map07023,Rifamycins",7.0,298,0.21,0.0
"map07026,Antifungal agents",7.0,298,0.21,0.0
"map07044,Antiviral agents",7.0,298,0.21,0.0
"map07053,Anti-HIV agents",7.0,298,0.21,0.0
"map07040,Antineoplastics - alkylating agents",7.0,298,0.21,0.0
"map07041,Antineoplastics - antimetabolic agents",7.0,298,0.21,0.0
"map07042,Antineoplastics - agents from natural products",7.0,298,0.21,0.0
"map07043,Antineoplastics - hormones",7.0,298,0.21,0.0
"map07045,Antineoplastics - protein kinase inhibitors",7.0,298,0.21,0.0
"map07032,Hypnotics",7.0,298,0.21,0.0
"map07030,Anxiolytics",7.0,298,0.21,0.0
"map07033,Anticonvulsants",7.0,298,0.21,0.0
"map07015,Local analgesics",7.0,298,0.21,0.0
"map07039,Opioid analgesics",7.0,298,0.21,0.0
"map07028,Antipsychotics",7.0,298,0.21,0.0
"map07029,Antipsychotics - phenothiazines",7.0,298,0.21,0.0
"map07031,Antipsychotics - butyrophenones",7.0,298,0.21,0.0
"map07027,Antidepressants",7.0,298,0.21,0.0
"map07056,Agents for Alzheimer-type dementia",7.0,298,0.21,0.0
"map07057,Antiparkinsonian agents",7.0,298,0.21,0.0
"map07055,Sulfonamide derivatives - overview",7.0,298,0.21,0.0
"map07016,Sulfonamide derivatives - sulfa drugs",7.0,298,0.21,0.0
"map07017,Sulfonamide derivatives - diuretics",7.0,298,0.21,0.0
"map07018,Sulfonamide derivatives - hypoglycemic agents",7.0,298,0.21,0.0
"map07037,Antiarrhythmic drugs",7.0,298,0.21,0.0
"map07038,Antiulcer drugs",7.0,298,0.21,0.0
"map07046,Immunosuppressive agents",7.0,298,0.21,0.0
"map07047,Osteoporosis drugs",7.0,298,0.21,0.0
"map07048,Antimigraines",7.0,298,0.21,0.0
"map07049,Antithrombosis agents",7.0,298,0.21,0.0
"map07050,Antirheumatics - DMARDs and biological agents",7.0,298,0.21,0.0
"map07051,Antidiabetics",7.0,298,0.21,0.0
"map07052,Antidyslipidemic agents",7.0,298,0.21,0.0
"map07054,Antiglaucoma agents",7.0,298,0.21,0.0
"map07220,Cholinergic and anticholinergic drugs",7.0,298,0.21,0.0
"map07215,alpha-Adrenergic receptor agonists/antagonists",7.0,298,0.21,0.0
"map07214,beta-Adrenergic receptor agonists/antagonists",7.0,298,0.21,0.0
"map07213,Dopamine receptor agonists/antagonists",7.0,298,0.21,0.0
"map07212,Histamine H1 receptor antagonists",7.0,298,0.21,0.0
"map07227,Histamine H2/H3 receptor agonists/antagonists",7.0,298,0.21,0.0
"map07211,Serotonin receptor agonists/antagonists",7.0,298,0.21,0.0
"map07228,Eicosanoid receptor agonists/antagonists",7.0,298,0.21,0.0
"map07224,Opioid receptor agonists/antagonists",7.0,298,0.21,0.0
"map07229,Angiotensin receptor and endothelin receptor antagonists",7.0,298,0.21,0.0
"map07225,Glucocorticoid and mineralocorticoid receptor agonists/antagonists",7.0,298,0.21,0.0
"map07226,""Progesterone, androgen and estrogen receptor agonists/antagonists""",7.0,298,0.21,0.0
"map07223,Retinoic acid receptor (RAR) and retinoid X receptor (RXR) agonists/antagonists",7.0,298,0.21,0.0
"map07222,Peroxisome proliferator-activated receptor (PPAR) agonists",7.0,298,0.21,0.0
"map07221,Nicotinic cholinergic receptor antagonists",7.0,298,0.21,0.0
"map07230,GABA-A receptor agonists/antagonists",7.0,298,0.21,0.0
"map07036,Calcium channel blocking drugs",7.0,298,0.21,0.0
"map07231,Sodium channel blocking drugs",7.0,298,0.21,0.0
"map07232,Potassium channel blocking and opening drugs",7.0,298,0.21,0.0
"map07235,N-Methyl-D-aspartic acid (NMDA) receptor antagonists",7.0,298,0.21,0.0
"map07233,Ion transporter inhibitors",7.0,298,0.21,0.0
"map07234,Neurotransmitter transporter inhibitors",7.0,298,0.21,0.0
"map07216,Catecholamine transferase inhibitors",7.0,298,0.21,0.0
"map07219,Cyclooxygenase inhibitors",7.0,298,0.21,0.0
"map07024,HMG-CoA reductase inhibitors",7.0,298,0.21,0.0
"map07217,Renin-angiotensin system inhibitors",7.0,298,0.21,0.0
"map07218,HIV protease inhibitors",7.0,298,0.21,0.0
"map07025,Quinolines",7.0,298,0.21,0.0
"map07034,Eicosanoids",7.0,298,0.21,0.0
"map07035,Prostaglandins",7.0,298,0.21,0.0
"map07110,Benzoic acid family",7.0,298,0.21,0.0
"map07112,""1,2-Diphenyl substitution family""",7.0,298,0.21,0.0
"map07114,Naphthalene family",7.0,298,0.21,0.0
"map07117,Benzodiazepine family",7.0,298,0.21,0.0
